id,type,subtype,price,zip,constructionYear,build_condition,bedroom_count,kitchen_installed,indoor_surface,building_state,city,province,parking,outdoor_terrace_exists,land_surface
11050526,apartment,apartment,325000,1140,2022,as new,2,0,101,AS_NEW,Evere,Brussels,1,1,
11012764,apartment,apartment,525000,1140,2022,as new,3,0,140,AS_NEW,Evere,Brussels,1,1,
11154663,apartment,penthouse,1295000,1180,2022,as new,3,0,179,AS_NEW,Uccle,Brussels,1,1,
11155394,apartment group,apartment group,213000 - 465000,9800,,,,0,,,Deinze,East Flanders,0,0,
11156812,house,house,234000,4030,1961,good,2,0,130,GOOD,Liège,Liège,1,1,236
11153142,apartment,flat studio,247500,1050,1969,as new,0,1,44,AS_NEW,Ixelles,Brussels,0,1,
11140881,apartment,apartment,269700,9890,2021,as new,1,0,76,AS_NEW,Gavere,East Flanders,1,1,
11140880,apartment,apartment,275450,9890,2021,as new,1,0,76,AS_NEW,Gavere,East Flanders,1,1,
9466117,house group,house group,290500 - 464000,8791,,,,0,,,Beveren-Leie,West Flanders,0,0,
11140887,apartment,apartment,373650,9890,2021,as new,2,0,126,AS_NEW,Gavere,East Flanders,1,1,
11140879,apartment,apartment,377150,9890,2021,as new,3,0,126,AS_NEW,Gavere,East Flanders,1,1,
11153221,apartment,apartment,395000,1050,1956,as new,2,1,108,AS_NEW,Ixelles,Brussels,1,1,
11140877,apartment,apartment,419760,9890,2021,as new,2,0,165,AS_NEW,Gavere,East Flanders,1,1,
11155146,house group,house group,429250 - 439750,9030,,,,0,,,Mariakerke,East Flanders,0,0,
11140883,apartment,duplex,438875,9890,2021,as new,3,0,146,AS_NEW,Gavere,East Flanders,1,1,
11140882,apartment,duplex,442375,9890,2021,as new,3,0,148,AS_NEW,Gavere,East Flanders,1,1,
11153335,house group,house group,467000 - 547500,9050,,,,0,,,Gentbrugge,East Flanders,0,0,
10843667,house group,house group,495000 - 565000,2920,,,,0,,,Kalmthout,Antwerp,0,0,
11153322,apartment group,apartment group,1016000 - 1372000,9051,,,,0,,,Gent Sint-Denijs-Westrem,East Flanders,0,0,
11151708,apartment group,apartment group,136500 - 246500,1357,,,,0,,,HÉLÉCINE,Walloon Brabant,0,0,
11152298,apartment,flat studio,165000,1000,2014,good,0,0,33,GOOD,Brussels City,Brussels,0,0,
11150748,apartment,apartment,184900,1070,1965,to renovate,2,0,65,TO_RENOVATE,ANDERLECHT,Brussels,1,0,
11152299,apartment,apartment,195000,1000,2010,good,1,1,33,GOOD,Brussels City,Brussels,0,1,
11135884,apartment,apartment,199000,8370,1885,as new,2,0,92,AS_NEW,Blankenberge,West Flanders,0,0,
11152186,apartment group,apartment group,205000 - 495000,2200,,,,0,,,Herentals,Antwerp,0,0,
11044025,apartment group,apartment group,208000 - 355000,5000,,,,0,,,NAMUR,Namur,0,0,
11153826,apartment,apartment,210000,2660,1980,just renovated,3,1,93,JUST_RENOVATED,HOBOKEN,Antwerp,0,1,
11155187,apartment group,apartment group,219000 - 229000,1080,,,,0,,,Molenbeek-Saint-Jean,Brussels,1,0,
10998947,apartment group,apartment group,225000 - 495000,5100,,,,0,,,JAMBES,Namur,0,0,
10730837,apartment group,apartment group,228000 - 345000,7060,,,,0,,,SOIGNIES,Hainaut,0,0,
11156995,house,house,199000,8930,1930,good,3,1,,GOOD,Menen,West Flanders,1,1,100
11156994,house,town house,235000,8530,,good,3,0,142,GOOD,Harelbeke,West Flanders,1,1,279
11156992,house,town house,318500,5020,,,3,0,130,,Daussoulx,Namur,1,0,490
10843667,house group,house group,495000 - 565000,2920,,,,0,,,Kalmthout,Antwerp,0,0,
11156979,apartment,apartment,400000,1180,1973,good,3,1,120,GOOD,Uccle,Brussels,1,1,
11156974,apartment,apartment,169000,3600,1980,,0,0,90,,Genk,Limburg,0,0,
11156973,house,bungalow,249000,4570,1968,good,2,1,85,GOOD,Marchin,Liège,1,1,739
11156971,house,house,310000,3060,1933,,3,0,179,,Bertem,Flemish Brabant,0,0,430
11156970,house,house,95000,7340,,to be done up,2,0,,TO_BE_DONE_UP,Colfontaine,Hainaut,1,0,0
11156968,house,house,525000,1070,1952,good,4,1,216,GOOD,Anderlecht,Brussels,1,0,164
11156965,house,house,349000,3090,1875,to renovate,6,0,173,TO_RENOVATE,Overijse,Flemish Brabant,0,1,102
11156960,house,house,352722,7903,,,3,0,120,,Blicquy,Hainaut,0,0,5200
11156958,apartment,apartment,195000,3550,1999,good,1,0,83,GOOD,Heusden-Zolder,Limburg,1,1,
11156957,house,house,249000,3582,1980,to renovate,3,0,142,TO_RENOVATE,Beringen,Limburg,1,0,1029
11156952,apartment,ground floor,749000,1190,,,2,1,120,,Forest,Brussels,0,1,
11156949,house,house,439000,3010,1963,to renovate,5,0,153,TO_RENOVATE,Leuven,Flemish Brabant,0,0,209
10966557,house,house,368000,3350,1993,good,3,0,313,GOOD,Linter,Flemish Brabant,1,1,387
11156945,apartment,apartment,270000,1800,,,2,0,85,,Vilvoorde,Flemish Brabant,0,0,
11156943,house,house,399000,8930,,good,3,0,151,GOOD,Menen,West Flanders,1,1,641
11156941,apartment,apartment,275000,3210,1977,good,2,0,84,GOOD,Lubbeek,Flemish Brabant,1,0,
